# This file is automatically generated by the curve_fit function
param n := 100 ;
param m := 2 ;
param X := 
51 1 1.000000e+00
51 2 5.050505e-01
52 1 1.000000e+00
52 2 5.151515e-01
53 1 1.000000e+00
53 2 5.252525e-01
54 1 1.000000e+00
54 2 5.353535e-01
55 1 1.000000e+00
55 2 5.454545e-01
56 1 1.000000e+00
56 2 5.555556e-01
57 1 1.000000e+00
57 2 5.656566e-01
58 1 1.000000e+00
58 2 5.757576e-01
59 1 1.000000e+00
59 2 5.858586e-01
60 1 1.000000e+00
60 2 5.959596e-01
61 1 1.000000e+00
61 2 6.060606e-01
62 1 1.000000e+00
62 2 6.161616e-01
63 1 1.000000e+00
63 2 6.262626e-01
64 1 1.000000e+00
64 2 6.363636e-01
65 1 1.000000e+00
65 2 6.464646e-01
66 1 1.000000e+00
66 2 6.565657e-01
67 1 1.000000e+00
67 2 6.666667e-01
68 1 1.000000e+00
68 2 6.767677e-01
69 1 1.000000e+00
69 2 6.868687e-01
70 1 1.000000e+00
70 2 6.969697e-01
71 1 1.000000e+00
71 2 7.070707e-01
72 1 1.000000e+00
72 2 7.171717e-01
73 1 1.000000e+00
73 2 7.272727e-01
74 1 1.000000e+00
74 2 7.373737e-01
75 1 1.000000e+00
75 2 7.474747e-01
76 1 1.000000e+00
76 2 7.575758e-01
77 1 1.000000e+00
77 2 7.676768e-01
78 1 1.000000e+00
78 2 7.777778e-01
79 1 1.000000e+00
79 2 7.878788e-01
80 1 1.000000e+00
80 2 7.979798e-01
81 1 1.000000e+00
81 2 8.080808e-01
82 1 1.000000e+00
82 2 8.181818e-01
83 1 1.000000e+00
83 2 8.282828e-01
84 1 1.000000e+00
84 2 8.383838e-01
85 1 1.000000e+00
85 2 8.484848e-01
86 1 1.000000e+00
86 2 8.585859e-01
87 1 1.000000e+00
87 2 8.686869e-01
88 1 1.000000e+00
88 2 8.787879e-01
89 1 1.000000e+00
89 2 8.888889e-01
90 1 1.000000e+00
90 2 8.989899e-01
91 1 1.000000e+00
91 2 9.090909e-01
92 1 1.000000e+00
92 2 9.191919e-01
93 1 1.000000e+00
93 2 9.292929e-01
94 1 1.000000e+00
94 2 9.393939e-01
95 1 1.000000e+00
95 2 9.494949e-01
96 1 1.000000e+00
96 2 9.595960e-01
97 1 1.000000e+00
97 2 9.696970e-01
98 1 1.000000e+00
98 2 9.797980e-01
99 1 1.000000e+00
99 2 9.898990e-01
100 1 1.000000e+00
100 2 1.000000e+00
;
param y := 
1 1.219039e+00
2 2.129210e+00
3 6.610930e-01
4 8.617235e-01
5 3.514280e+00
6 3.491670e+00
7 3.339680e+00
8 4.167029e+00
9 2.284031e+00
10 3.278251e+00
11 4.431203e+00
12 2.881280e+00
13 3.767990e+00
14 4.490258e+00
15 4.016729e+00
16 1.667515e+00
17 4.023106e+00
18 3.492274e+00
19 3.643746e+00
20 4.694206e+00
21 3.042106e+00
22 4.308441e+00
23 2.782381e+00
24 5.185842e+00
25 6.071763e+00
26 5.341191e+00
27 3.105816e+00
28 4.454504e+00
29 5.630674e+00
30 4.834633e+00
31 5.427096e+00
32 3.574256e+00
33 5.589581e+00
34 3.907976e+00
35 6.126585e+00
36 6.656988e+00
37 2.745028e+00
38 5.627823e+00
39 5.342307e+00
40 6.682779e+00
41 5.911648e+00
42 5.271336e+00
43 6.141379e+00
44 5.864428e+00
45 6.471067e+00
46 6.565420e+00
47 8.029621e+00
48 6.921403e+00
49 8.104580e+00
50 4.636644e+00
51 7.578062e+00
52 7.402705e+00
53 8.386858e+00
54 9.017819e+00
55 5.629479e+00
56 5.866244e+00
57 7.643444e+00
58 6.957784e+00
59 8.479200e+00
60 7.923425e+00
61 6.763801e+00
62 8.801818e+00
63 8.584288e+00
64 8.410228e+00
65 8.397900e+00
66 6.814977e+00
67 7.646326e+00
68 9.487759e+00
69 7.466334e+00
70 9.075104e+00
71 9.447482e+00
72 9.689863e+00
73 1.008382e+01
74 9.089113e+00
75 1.090497e+01
76 8.710660e+00
77 8.547930e+00
78 8.343893e+00
79 9.487248e+00
80 1.025973e+01
81 1.035268e+01
82 1.076947e+01
83 9.490386e+00
84 1.000019e+01
85 1.192138e+01
86 1.040510e+01
87 9.943119e+00
88 1.108771e+01
89 9.890605e+00
90 1.069594e+01
91 1.211480e+01
92 1.155541e+01
93 1.170645e+01
94 1.195429e+01
95 1.195011e+01
96 1.400763e+01
97 1.242638e+01
98 1.229662e+01
99 1.190021e+01
100 1.095016e+01
;
